Borough,Neighborhood,Latitude,Longitude,NearHos,AvgDist
Bronx,Wakefield,40.894705176609996,-73.84720052054901,1,21.154280210371798
Bronx,Co-op City,40.87429419303012,-73.829939108124,7,19.976509962665343
Bronx,Eastchester,40.887555677350775,-73.82780644716412,1,21.150140141153365
Bronx,Fieldston,40.89543742690383,-73.90564259591682,3,20.148064089315692
Bronx,Riverdale,40.890834493891305,-73.9125854610857,8,19.666613815151464
Bronx,Kingsbridge,40.88168737120521,-73.90281798724605,23,18.87936087908359
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,17,18.35010629372944
Bronx,Woodlawn,40.898272612138044,-73.86731496814177,2,20.974478778070626
Bronx,Norwood,40.87722415599446,-73.8793907395681,15,18.81207013664367
Bronx,Williamsbridge,40.88103887819211,-73.85744642974205,13,19.663744800578087
Bronx,Baychester,40.866858107252696,-73.83579759808117,13,19.173315927056372
Bronx,Pelham Parkway,40.857413498088654,-73.85475564017999,22,17.818114170912327
Bronx,City Island,40.847246704918135,-73.78648845267412,0,19.938417533084113
Bronx,Bedford Park,40.870185164975325,-73.8855121841913,24,18.09749867097986
Bronx,University Heights,40.85572707719664,-73.91041596191309,24,16.573628568980478
Bronx,Morris Heights,40.847897926062714,-73.91967159119567,14,15.88713191366419
Bronx,Fordham,40.86099679638654,-73.89642655981623,20,17.159444188594787
Bronx,East Tremont,40.84269615786053,-73.88735617532338,8,15.921674710337332
Bronx,West Farms,40.839475056726535,-73.87774474910546,4,15.913012927477414
Bronx,High  Bridge,40.836623010706056,-73.92610209358129,36,15.002535494782448
Bronx,Melrose,40.819754370594936,-73.90942160757436,15,14.01396724215327
Bronx,Mott Haven,40.80623874935177,-73.91609987487574,9,13.139315090768724
Bronx,Port Morris,40.80166362775621,-73.91322139386133,10,12.943220676393526
Bronx,Longwood,40.81509904545822,-73.8957882009446,5,13.987070482584738
Bronx,Hunts Point,40.80972987938709,-73.88331505955291,2,13.996663808408536
Bronx,Morrisania,40.823591985855344,-73.90150648943059,11,14.378675654001169
Bronx,Soundview,40.821012197914015,-73.86574609554923,4,15.102901827687631
Bronx,Clason Point,40.80655112003589,-73.85414416189265,2,14.755628080624213
Bronx,Throgs Neck,40.815109258040046,-73.81635002158441,0,16.705987280410962
Bronx,Country Club,40.844245936947374,-73.8240992675385,15,18.012028795337564
Bronx,Parkchester,40.83793782226729,-73.85600310535783,19,16.419474225024057
Bronx,Westchester Square,40.8406194964327,-73.84219407604444,25,17.061113862284074
Bronx,Van Nest,40.84360847124718,-73.86629918075609,17,16.491775211407838
Bronx,Morris Park,40.847549063536334,-73.8504017803042,27,17.237360125376263
Bronx,Belmont,40.857277100738955,-73.88845196134805,11,16.991081516259225
Bronx,Spuyten Duyvil,40.88139497727086,-73.91719048210393,15,18.763932447916
Bronx,North Riverdale,40.90854282950666,-73.90453054908927,0,21.429869735277737
Bronx,Pelham Bay,40.85064140940335,-73.8320737824047,27,18.114230120580885
Bronx,Schuylerville,40.826579516869224,-73.82620275994074,5,16.86579558709029
Bronx,Edgewater Park,40.82198611816349,-73.81388514428619,1,17.164622081522054
Bronx,Castle Hill,40.81901437698832,-73.84802729582734,5,15.592147487691546
Bronx,Olinville,40.87137078192371,-73.86332361652777,15,18.68726796739554
Bronx,Pelham Gardens,40.862965624779974,-73.84161194831223,20,18.665361528508686
Bronx,Concourse,40.83428380733851,-73.91558941773444,13,14.900193389532841
Bronx,Unionport,40.82977429787161,-73.85053524451935,13,16.10112976014561
Bronx,Edenwald,40.884561303037316,-73.84808271877169,1,20.23486920330237
Brooklyn,Bay Ridge,40.625801065010656,-74.03062069353813,20,17.618553180566412
Brooklyn,Bensonhurst,40.61100890202044,-73.99517998380729,8,17.75844192469364
Brooklyn,Sunset Park,40.64510294925429,-74.01031618527784,46,15.661877646071373
Brooklyn,Greenpoint,40.7302009848647,-73.95424093127394,14,11.17475014320676
Brooklyn,Gravesend,40.59526001306593,-73.97347087708445,16,18.775841555984126
Brooklyn,Brighton Beach,40.57682506566604,-73.96509448785335,13,20.38470735036774
Brooklyn,Sheepshead Bay,40.58689012678384,-73.9431864048298,13,19.425790980810742
Brooklyn,Manhattan Terrace,40.61443251335098,-73.95743840559939,19,17.044369432839947
Brooklyn,Flatbush,40.63632589026677,-73.95840106533903,14,15.385010065566725
Brooklyn,Crown Heights,40.67082917695294,-73.94329119073582,21,13.23949810549839
Brooklyn,East Flatbush,40.64171776668961,-73.93610256185836,21,15.041573170179266
Brooklyn,Kensington,40.64238195800353,-73.98042110559473,26,15.169697286351704
Brooklyn,Windsor Terrace,40.65694583575104,-73.98007340430172,18,14.255164808677922
Brooklyn,Prospect Heights,40.67682226225472,-73.9648592426269,32,12.992221640120691
Brooklyn,Brownsville,40.66394994339755,-73.91023536176606,10,13.982612225154977
Brooklyn,Williamsburg,40.707144393442505,-73.95811529220926,17,11.733517079543073
Brooklyn,Bushwick,40.69811611017901,-73.92525797487045,10,12.170111330057601
Brooklyn,Bedford Stuyvesant,40.68723160772045,-73.94178488690297,14,12.46729630287476
Brooklyn,Brooklyn Heights,40.69586372272408,-73.99378225496423,29,12.718741022003433
Brooklyn,Cobble Hill,40.687919722485574,-73.99856139218463,24,13.158367610253611
Brooklyn,Carroll Gardens,40.68054023107649,-73.99465372828006,38,13.356409631218414
Brooklyn,Red Hook,40.67625323025089,-74.01275897473559,4,14.13160135823793
Brooklyn,Gowanus,40.67393114318715,-73.99444087145339,28,13.65608097249961
Brooklyn,Fort Greene,40.68852726018977,-73.97290574369092,29,12.554246292733229
Brooklyn,Park Slope,40.67232052268197,-73.97705030183924,29,13.36238954511322
Brooklyn,Cypress Hills,40.68239101144211,-73.87661596457295,2,13.863943934111104
Brooklyn,East New York,40.669925700847045,-73.88069863917366,3,14.35116204793498
Brooklyn,Starrett City,40.64758905230874,-73.87936970045875,1,15.68493983910665
Brooklyn,Canarsie,40.63556432797428,-73.90209269778966,3,15.943834983629543
Brooklyn,Flatlands,40.630446043757466,-73.92911302644673,14,15.902233632682627
Brooklyn,Mill Island,40.606336421685626,-73.90818571777424,4,18.0758676281181
Brooklyn,Manhattan Beach,40.57791350308657,-73.94353722891886,9,20.252326545533503
Brooklyn,Coney Island,40.57429256471601,-73.98868295821637,4,20.866095166885575
Brooklyn,Bath Beach,40.59951870282239,-73.99875221443519,5,18.7843664125057
Brooklyn,Borough Park,40.633130512758015,-73.99049823044811,37,15.968434442949482
Brooklyn,Dyker Heights,40.61921945772264,-74.01931375636022,22,17.716372082530818
Brooklyn,Gerritsen Beach,40.590848433902046,-73.93010170691196,6,19.141327470901032
Brooklyn,Marine Park,40.60974777989461,-73.93134404108497,17,17.502220786852025
Brooklyn,Clinton Hill,40.69322942188151,-73.96784306216367,24,12.304117532560483
Brooklyn,Sea Gate,40.57637537890224,-74.00787311200241,1,21.01808873518264
Brooklyn,Downtown,40.69084402109802,-73.98346337431099,29,12.64665145906626
Brooklyn,Boerum Hill,40.68568291209144,-73.98374824115798,35,12.863650294125694
Brooklyn,Prospect Lefferts Gardens,40.65842001746981,-73.95489867077713,25,13.92763218790017
Brooklyn,Ocean Hill,40.67840255479536,-73.91306831787395,3,13.183845110195268
Brooklyn,City Line,40.67856995727479,-73.86797598081334,4,14.305322702790512
Brooklyn,Bergen Beach,40.615149550453076,-73.89855633630317,1,17.54011669427975
Brooklyn,Midwood,40.62559589869843,-73.95759523489838,19,16.169871242321726
Brooklyn,Prospect Park South,40.647008603185185,-73.96261316716048,18,14.676293356051296
Brooklyn,Georgetown,40.623845244784185,-73.91607483951323,8,16.558085950867888
Brooklyn,East Williamsburg,40.70849241041548,-73.93885815269195,17,11.701314368969332
Brooklyn,North Side,40.714822906532014,-73.95880857587582,17,11.51568367268553
Brooklyn,South Side,40.71086147265064,-73.95800095153331,19,11.620899251545788
Brooklyn,Ocean Parkway,40.61305976667942,-73.96836678035541,14,17.220723853692274
Brooklyn,Fort Hamilton,40.61476812694226,-74.03197914537985,7,18.466721767052704
Manhattan,Chinatown,40.71561842231432,-73.99427936255978,39,12.153087527207784
Manhattan,Washington Heights,40.851902525553044,-73.93690027985234,28,16.20030962495194
Manhattan,Inwood,40.86768396449915,-73.92121042203897,16,17.522047576594282
Manhattan,Hamilton Heights,40.823604284811935,-73.94968791883366,23,14.147989085662454
Manhattan,Manhattanville,40.81693442949779,-73.9573853935188,25,13.785839327561611
Manhattan,Central Harlem,40.81597606742414,-73.94321112603905,30,13.581476629148554
Manhattan,East Harlem,40.79224946663033,-73.94418223148523,61,12.192736957049723
Manhattan,Upper East Side,40.77563857330181,-73.96050763135,156,11.580874199290237
Manhattan,Yorkville,40.77592984988488,-73.94711784471826,142,11.496969813965391
Manhattan,Lenox Hill,40.76811265828733,-73.9588596881376,116,11.301033407782946
Manhattan,Roosevelt Island,40.76215960576283,-73.94916769227953,105,11.121362545190678
Manhattan,Upper West Side,40.787657998534854,-73.97705923630603,24,12.480805545672144
Manhattan,Lincoln Square,40.773528889421655,-73.98533777001262,25,12.148804356011967
Manhattan,Clinton,40.75910089146212,-73.99611936309479,28,12.147324778977975
Manhattan,Midtown,40.754691102706225,-73.98166882730305,84,11.54188208542013
Manhattan,Murray Hill,40.748303077252174,-73.97833207924127,99,11.36929737890044
Manhattan,Chelsea,40.744034706747975,-74.00311633472813,33,12.226919853784095
Manhattan,Greenwich Village,40.72693288536128,-73.99991402945902,62,12.145104492047146
Manhattan,East Village,40.727846777270244,-73.98222616506415,89,11.564171513168382
Manhattan,Lower East Side,40.71780674892765,-73.98089031999291,48,11.741843651676888
Manhattan,Tribeca,40.721521967443216,-74.01068328559087,28,12.658950784887622
Manhattan,Little Italy,40.71932379395907,-73.99730467208073,46,12.1734215298945
Manhattan,Soho,40.72218384131794,-74.0006566695976,50,12.242503846687738
Manhattan,West Village,40.73443393572435,-74.00617998126813,44,12.345382594375712
Manhattan,Manhattan Valley,40.797307041702865,-73.96428617740655,65,12.672138421091013
Manhattan,Morningside Heights,40.807999738165826,-73.96389627905332,22,13.308311475005096
Manhattan,Gramercy,40.737209832715,-73.98137594833541,101,11.428990679107264
Manhattan,Battery Park City,40.71193198394565,-74.01686930508617,18,13.099508584224933
Manhattan,Financial District,40.707107107270474,-74.01066544521271,18,12.949127641505612
Queens,Astoria,40.76850859335492,-73.91565374304234,11,11.64412620717517
Queens,Woodside,40.746349088602216,-73.90184166838284,15,11.682772559989903
Queens,Jackson Heights,40.75198138007367,-73.88282109164366,16,12.221394083103927
Queens,Elmhurst,40.74404850512202,-73.88165622288388,20,12.224220862045032
Queens,Howard Beach,40.65422527738487,-73.83813764600279,0,16.657737340479503
Queens,Corona,40.74238175015667,-73.85682497345258,10,13.074179118135504
Queens,Forest Hills,40.72526378216503,-73.84447500788983,14,13.674388950724884
Queens,Kew Gardens,40.705179035414794,-73.82981905825703,13,14.719888212760278
Queens,Richmond Hill,40.69794731471763,-73.83183321446889,17,14.860607748611368
Queens,Flushing,40.76445419697846,-73.83177300329581,11,14.2896728463173
Queens,Long Island City,40.75021734610528,-73.93920223915505,29,11.078927839939439
Queens,Sunnyside,40.74017628351925,-73.92691617561577,3,11.230718453139703
Queens,East Elmhurst,40.7640732388309,-73.86704147658772,5,12.898984219246989
Queens,Maspeth,40.725427374093606,-73.8962171362686,6,11.982960634551397
Queens,Ridgewood,40.708323156138576,-73.90143517559589,6,12.253299854565192
Queens,Glendale,40.70276242967838,-73.87074167435605,2,13.259314189718488
Queens,Rego Park,40.728974094807356,-73.85782686905371,13,13.115551019085519
Queens,Woodhaven,40.68988687915789,-73.8581104655432,3,14.144670311749978
Queens,Ozone Park,40.680708468265415,-73.84320266173447,6,15.084894921240219
Queens,South Ozone Park,40.66854957767195,-73.80986478649041,0,17.091452623542985
Queens,College Point,40.78490274926021,-73.84304528896125,1,14.330880421640797
Queens,Whitestone,40.781290766026935,-73.81420216610863,1,15.487648261309348
